Disease Name,Symptom Description
Acne,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Allergic Rhinitis,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Alzheimer's Disease,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Anemia,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Anxiety Disorders,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Appendicitis,"have fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Asthma,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Atherosclerosis,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Autism Spectrum Disorder (ASD),"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Bipolar Disorder,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Bladder Cancer,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Brain Tumor,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Breast Cancer,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Bronchitis,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Cataracts,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, high cholesterol level."
Cerebral Palsy,"no fever, no cough, experience fatigue, have difficulty breathing, normal blood pressure level, normal cholesterol level."
Chickenpox,"no fever, have cough, no fatigue, no difficulty breathing, normal blood pressure level, high cholesterol level."
Cholecystitis,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Cholera,"have fever, no cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Chronic Kidney Disease,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, high cholesterol level."
Chronic Obstructive Pulmonary Disease (COPD),"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Chronic Obstructive Pulmonary...,"have fever, have cough, experience fatigue, have difficulty breathing, normal blood pressure level, normal cholesterol level."
Cirrhosis,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, high cholesterol level."
Colorectal Cancer,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, high cholesterol level."
Common Cold,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Conjunctivitis (Pink Eye),"no fever, have cough, no fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Coronary Artery Disease,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Crohn's Disease,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Cystic Fibrosis,"no fever, no cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Dementia,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Dengue Fever,"have fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Depression,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Diabetes,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Diverticulitis,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Down Syndrome,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
"Eating Disorders (Anorexia,...","no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Ebola Virus,"have fever, have cough, experience fatigue, have difficulty breathing, normal blood pressure level, normal cholesterol level."
Eczema,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Endometriosis,"have fever, no cough, no fatigue, no difficulty breathing, high blood pressure level, normal cholesterol level."
Epilepsy,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Esophageal Cancer,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Fibromyalgia,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Gastroenteritis,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Glaucoma,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, normal cholesterol level."
Gout,"have fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, high cholesterol level."
HIV/AIDS,"have fever, no cough, no fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Hemophilia,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Hemorrhoids,"no fever, no cough, no fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Hepatitis,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Hepatitis B,"no fever, have cough, experience fatigue, no difficulty breathing, normal blood pressure level, unknown status."
Hyperglycemia,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Hypertension,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Hypertensive Heart Disease,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Hyperthyroidism,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Hypoglycemia,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Hypothyroidism,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Influenza,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Kidney Cancer,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Kidney Disease,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Klinefelter Syndrome,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Liver Cancer,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Liver Disease,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Lung Cancer,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Lyme Disease,"have fever, no cough, no fatigue, no difficulty breathing, normal blood pressure level, high cholesterol level."
Lymphoma,"no fever, have cough, no fatigue, no difficulty breathing, normal blood pressure level, high cholesterol level."
Malaria,"have fever, no cough, no fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Marfan Syndrome,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Measles,"have fever, have cough, no fatigue, no difficulty breathing, high blood pressure level, normal cholesterol level."
Melanoma,"have fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, normal cholesterol level."
Migraine,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Multiple Sclerosis,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Mumps,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, high cholesterol level."
Muscular Dystrophy,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Myocardial Infarction (Heart...,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Obsessive-Compulsive Disorde...,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Osteoarthritis,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Osteomyelitis,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Osteoporosis,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Otitis Media (Ear Infection),"have fever, have cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Ovarian Cancer,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Pancreatic Cancer,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Pancreatitis,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Parkinson's Disease,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, normal cholesterol level."
Pneumocystis Pneumonia (PCP),"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Pneumonia,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Pneumothorax,"no fever, no cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Polio,"have fever, have cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Polycystic Ovary Syndrome (PCOS),"have fever, have cough, no fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Prader-Willi Syndrome,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Prostate Cancer,"have fever, have cough, no fatigue, no difficulty breathing, high blood pressure level, normal cholesterol level."
Psoriasis,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Rabies,"have fever, have cough, no fatigue, no difficulty breathing, high blood pressure level, normal cholesterol level."
Rheumatoid Arthritis,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Rubella,"have fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, normal cholesterol level."
Schizophrenia,"no fever, have cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Scoliosis,"no fever, no cough, no fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Sepsis,"have fever, have cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Sickle Cell Anemia,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Sinusitis,"no fever, have cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Sleep Apnea,"have fever, no cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Spina Bifida,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Stroke,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Systemic Lupus Erythematosus...,"no fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Testicular Cancer,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Tetanus,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, high cholesterol level."
